Ship Type,Subtype,Engine Category,Engine Type,Installed Propulsion Power (kW),Max Speed (kn),Max Draft (m),Capacity (metric tons)
Bulk Carrier,Small,3,MSD,2500,14.8,6.7,
Bulk Carrier,Handysize,3,SSD,6900,15.3,9.5,
Bulk Carrier,Handymax,3,SSD,8500,15.3,11.4,
Bulk Carrier,Panamax,3,SSD,10300,15.4,13.7,
Bulk Carrier,Capesize,3,SSD,16400,15.7,17.2,
Bulk Carrier,Capesize Largest,3,SSD,17400,16.5,18.2,
Chemical Tanker,Smallest,2,MSD,2300,11.4,5.1,
Chemical Tanker,Small,3,SSD,3200,14.7,7.2,
Chemical Tanker,Handysize,3,SSD,5300,15.2,8.9,
Chemical Tanker,Handymax,3,SSD,9100,15.6,12.3,
Container Ship,"1,000 TEU",3,MSD,8200,18.6,7.4,24000
Container Ship,"2,000 TEU",3,SSD,14700,21.3,9.7,48000
Container Ship,"3,000 TEU",3,SSD,21800,22.9,11.3,72000
Container Ship,"5,000 TEU",3,SSD,37000,25.1,12.4,120000
Container Ship,"8,000 TEU",3,SSD,55800,26.5,13.9,192000
Container Ship,"12,000 TEU",3,SSD,61000,25.9,14.4,288000
Container Ship,"14,500 TEU",3,SSD,65000,25.6,15.2,3480000
Container Ship,Largest,3,SSD,49000,25.6,14,
Cruise,"2,000 Ton",1,MSD,2300,12.8,4.5,
Cruise,"10,000 Ton",1,MSD,4500,15.5,3.9,
Cruise,"60,000 Ton",3,MSD-ED,19100,20.7,6.9,
Cruise,"100,000 Ton",3,MSD-ED,34500,23.5,8,
Cruise,Largest,3,MSD-ED,42900,23.5,8.6,
Ferry/Roll-on/Passenger (C3),"2,000 Ton",1,MSD,2400,17.7,2.7,
Ferry/Roll-on/Passenger (C3),Largest,2,MSD,8800,19.7,4.7,
Fishing (C3),All C3 Fishing,1,MSD,1000,12.3,3.8,
General Cargo,"5,000 DWT",1,MSD,1400,12,3.6,5000
General Cargo,"10,000 DWT",3,MSD,3400,15.1,7.1,10000
General Cargo,Largest,3,MSD,14900,18.5,8.4,
Liquified Gas Tanker,"50,000 DWT",3,SSD,2700,15.3,5.8,50000
Liquified Gas Tanker,"100,000 DWT",3,SSD,4700,16.2,7.3,100000
Liquified Gas Tanker,"200,000 DWT",3,SSD,7000,17.8,9.2,200000
Liquified Gas Tanker,Largest,3,SSD,14800,17.9,11.5,
Miscellaneous (C3),All C3 Misc.,3,MSD,5800,15.5,6.7,
Offshore Support/Drillship,All Offshore Support / Drillship,1,MSD,6300,15.1,6.1,
Oil Tanker,Handymax,3,SSD,8700,15.5,12.1,
Oil Tanker,Aframax,3,SSD,12200,15.7,14.6,
Oil Tanker,Suezmax,3,SSD,16900,15.6,16.9,
Other Tanker,All Other Tanker,3,SSD,11800,14.6,11.9,
Reefer,All Reefer,3,SSD,9200,20,8.4,
RORO,5000 Ton,2,MSD,2100,13.9,3.9,
RORO,Largest,3,SSD,19600,21.5,9.6,
Yacht (C2/C3),C2/C3 Yacht,1,MSD,3100,18.7,2.7,
