Pollutant,Pollutant Code,Basis,Fraction
"1,3-Butadiene",106990,VOC,0.001013
"2,2,4-Trimethylpentane",540841,VOC,0.00712
Acenaphthene,83329,VOC,0.0000509
Acenaphthylene,208968,VOC,0.000118
Acetaldehyde,75070,VOC,0.009783
Acrolein,107028,VOC,0.001848
Ammonia,NH3,PM2.5,0.019247
Anthracene,120127,VOC,0.000344
Antimony,7440360,PM2.5,0.000615
Arsenic,7440382,PM2.5,0.0000259
Benz[a]Anthracene,56553,PM2.5,0.00000882
Benzene,71432,VOC,0.004739
Benzo[a]Pyrene,50328,PM2.5,0.00000418
Benzo[b]Fluoranthene,205992,PM2.5,0.00000835
Benzo[k]Fluoranthene,207089,PM2.5,0.00000418
"Benzo(g,h,i)Fluoranthene",203123,PM2.5,0.000132
Cadmium,7440439,PM2.5,0.000236
Chrysene,218019,PM2.5,0.0000163
Chromium (VI),18540299,PM2.5,7.24E-09
"Dibenzo[a,h]anthracene",53703,PM2.5,0.00000865
Ethyl Benzene,100414,VOC,0.000439
Fluoranthene,206440,PM2.5,0.0000897
Fluorene,86737,VOC,0.000164
Formaldehyde,50000,VOC,0.042696
"Indeno[1,2,3-c,d]Pyrene",193395,PM2.5,0.00000835
Lead,7439921,PM2.5,0.000125
Manganese,7439965,PM2.5,0.00000322
Mercury,7439976,PM2.5,4.18E-08
Naphthalene,91203,VOC,0.031304
Hexane,110543,VOC,0.00279
Nickel,7440020,PM2.5,0.000687
Polychlorinated Biphenyls,1336363,PM2.5,0.000000418
Phenanthrene,85018,VOC,0.001356
Propionaldehyde,123386,VOC,0.001517
Pyrene,129000,PM2.5,0.0000337
Selenium,7782492,PM2.5,4.38E-08
Toluene,108883,VOC,0.002035
Xylenes (Mixed Isomers),1330207,VOC,0.001422
o-Xylene,95476,VOC,0.000513
